Gmt time,Open,High,Low,Close,Volume
29.12.2020 05:11:00.000,1.28279,1.28279,1.28270,1.28273,33.82
29.12.2020 05:12:00.000,1.28272,1.28273,1.28272,1.28272,12
29.12.2020 05:13:00.000,1.28273,1.28278,1.28268,1.28276,16
29.12.2020 05:14:00.000,1.28278,1.28281,1.28278,1.28281,10.25
29.12.2020 05:15:00.000,1.28282,1.28282,1.28282,1.28282,1.5
29.12.2020 05:16:00.000,1.28280,1.28284,1.28276,1.28280,38
29.12.2020 05:17:00.000,1.28280,1.28281,1.28272,1.28272,20.25
29.12.2020 05:18:00.000,1.28273,1.28287,1.28273,1.28280,36.25
29.12.2020 05:19:00.000,1.28280,1.28288,1.28280,1.28288,17.75
29.12.2020 05:20:00.000,1.28288,1.28290,1.28288,1.28290,12
29.12.2020 05:21:00.000,1.28290,1.28297,1.28290,1.28296,19.75
29.12.2020 05:22:00.000,1.28296,1.28296,1.28288,1.28288,19
29.12.2020 05:23:00.000,1.28288,1.28289,1.28288,1.28288,10
29.12.2020 05:24:00.000,1.28289,1.28290,1.28288,1.28288,6
29.12.2020 05:25:00.000,1.28288,1.28289,1.28284,1.28286,21
29.12.2020 05:26:00.000,1.28287,1.28287,1.28279,1.28282,30
29.12.2020 05:27:00.000,1.28282,1.28282,1.28263,1.28263,26.5
29.12.2020 05:28:00.000,1.28262,1.28267,1.28261,1.28265,18.5
29.12.2020 05:29:00.000,1.28263,1.28269,1.28256,1.28256,17.14
29.12.2020 05:30:00.000,1.28259,1.28261,1.28253,1.28253,27.33
29.12.2020 05:31:00.000,1.28255,1.28261,1.28253,1.28260,17.2
29.12.2020 05:32:00.000,1.28261,1.28269,1.28261,1.28265,7
29.12.2020 05:33:00.000,1.28264,1.28265,1.28257,1.28258,20.57
29.12.2020 05:34:00.000,1.28255,1.28260,1.28253,1.28257,32.54
29.12.2020 05:35:00.000,1.28257,1.28259,1.28252,1.28257,22.45
29.12.2020 05:36:00.000,1.28255,1.28258,1.28252,1.28257,11.43
29.12.2020 05:37:00.000,1.28255,1.28257,1.28253,1.28256,18.69
29.12.2020 05:38:00.000,1.28257,1.28260,1.28254,1.28260,11.06
29.12.2020 05:39:00.000,1.28262,1.28264,1.28261,1.28262,24.74
29.12.2020 05:40:00.000,1.28266,1.28269,1.28262,1.28266,19.59
29.12.2020 05:41:00.000,1.28266,1.28268,1.28262,1.28267,27.95
29.12.2020 05:42:00.000,1.28268,1.28272,1.28266,1.28267,11.57
29.12.2020 05:43:00.000,1.28268,1.28270,1.28267,1.28268,8
29.12.2020 05:44:00.000,1.28263,1.28264,1.28262,1.28263,13.52
29.12.2020 05:45:00.000,1.28265,1.28270,1.28263,1.28270,27.33
29.12.2020 05:46:00.000,1.28269,1.28273,1.28262,1.28270,37.51
29.12.2020 05:47:00.000,1.28272,1.28280,1.28272,1.28278,25.43
29.12.2020 05:48:00.000,1.28278,1.28286,1.28272,1.28272,51.41
29.12.2020 05:49:00.000,1.28272,1.28273,1.28267,1.28269,18.81
29.12.2020 05:50:00.000,1.28270,1.28274,1.28269,1.28270,9.69
29.12.2020 05:51:00.000,1.28273,1.28278,1.28270,1.28274,31.01
29.12.2020 05:52:00.000,1.28277,1.28279,1.28271,1.28272,23.68
29.12.2020 05:53:00.000,1.28271,1.28278,1.28271,1.28278,11.57
29.12.2020 05:54:00.000,1.28279,1.28279,1.28254,1.28254,10.19
29.12.2020 05:55:00.000,1.28254,1.28254,1.28252,1.28252,5.17
29.12.2020 05:56:00.000,1.28252,1.28252,1.28238,1.28240,29.15
29.12.2020 05:57:00.000,1.28243,1.28244,1.28234,1.28238,33.51
29.12.2020 05:58:00.000,1.28242,1.28246,1.28239,1.28244,37.71
29.12.2020 05:59:00.000,1.28243,1.28246,1.28233,1.28234,22.64
29.12.2020 06:00:00.000,1.28235,1.28242,1.28235,1.28236,25.54
29.12.2020 06:01:00.000,1.28235,1.28235,1.28227,1.28235,28.24
29.12.2020 06:02:00.000,1.28235,1.28237,1.28235,1.28236,19.47
29.12.2020 06:03:00.000,1.28237,1.28237,1.28222,1.28223,23.77
29.12.2020 06:04:00.000,1.28224,1.28226,1.28223,1.28226,9.8
29.12.2020 06:05:00.000,1.28232,1.28233,1.28227,1.28228,27.36
29.12.2020 06:06:00.000,1.28229,1.28229,1.28227,1.28228,4.4
29.12.2020 06:07:00.000,1.28227,1.28227,1.28220,1.28220,7.5
29.12.2020 06:08:00.000,1.28225,1.28227,1.28220,1.28220,24.51
29.12.2020 06:09:00.000,1.28226,1.28236,1.28220,1.28228,54.58
29.12.2020 06:10:00.000,1.28228,1.28230,1.28228,1.28230,6.82
29.12.2020 06:11:00.000,1.28230,1.28230,1.28223,1.28223,10.62
29.12.2020 06:12:00.000,1.28223,1.28223,1.28222,1.28222,4
29.12.2020 06:13:00.000,1.28220,1.28222,1.28217,1.28222,8.5
29.12.2020 06:14:00.000,1.28222,1.28229,1.28218,1.28222,46.76
29.12.2020 06:15:00.000,1.28218,1.28222,1.28218,1.28222,16.5
29.12.2020 06:16:00.000,1.28222,1.28224,1.28221,1.28222,5.99
29.12.2020 06:17:00.000,1.28223,1.28229,1.28223,1.28229,4
29.12.2020 06:18:00.000,1.28231,1.28231,1.28229,1.28229,12
29.12.2020 06:19:00.000,1.28229,1.28231,1.28229,1.28231,19
29.12.2020 06:20:00.000,1.28224,1.28224,1.28218,1.28219,16
29.12.2020 06:21:00.000,1.28220,1.28231,1.28220,1.28226,35.25
29.12.2020 06:22:00.000,1.28226,1.28228,1.28226,1.28228,5
29.12.2020 06:23:00.000,1.28224,1.28224,1.28222,1.28223,8
29.12.2020 06:24:00.000,1.28222,1.28229,1.28222,1.28222,24.5
29.12.2020 06:25:00.000,1.28222,1.28222,1.28222,1.28222,0
29.12.2020 06:26:00.000,1.28227,1.28230,1.28227,1.28229,21.37
29.12.2020 06:27:00.000,1.28230,1.28230,1.28230,1.28230,1
29.12.2020 06:28:00.000,1.28230,1.28230,1.28230,1.28230,4
29.12.2020 06:29:00.000,1.28231,1.28231,1.28224,1.28226,18.75
29.12.2020 06:30:00.000,1.28226,1.28229,1.28222,1.28229,16.6
29.12.2020 06:31:00.000,1.28231,1.28235,1.28229,1.28230,24.24
29.12.2020 06:32:00.000,1.28226,1.28229,1.28226,1.28229,4
29.12.2020 06:33:00.000,1.28235,1.28236,1.28232,1.28232,4.5
29.12.2020 06:34:00.000,1.28232,1.28233,1.28230,1.28231,9
29.12.2020 06:35:00.000,1.28230,1.28234,1.28230,1.28231,18
29.12.2020 06:36:00.000,1.28230,1.28237,1.28230,1.28237,11.57
29.12.2020 06:37:00.000,1.28238,1.28251,1.28238,1.28247,29.77
29.12.2020 06:38:00.000,1.28246,1.28253,1.28241,1.28246,24.3
29.12.2020 06:39:00.000,1.28247,1.28258,1.28247,1.28255,12
29.12.2020 06:40:00.000,1.28256,1.28256,1.28246,1.28248,25.1
29.12.2020 06:41:00.000,1.28249,1.28255,1.28249,1.28255,14.5
29.12.2020 06:42:00.000,1.28256,1.28263,1.28255,1.28263,18.25
29.12.2020 06:43:00.000,1.28261,1.28264,1.28260,1.28261,6
29.12.2020 06:44:00.000,1.28257,1.28257,1.28255,1.28256,7.5
29.12.2020 06:45:00.000,1.28257,1.28257,1.28257,1.28257,2
29.12.2020 06:46:00.000,1.28262,1.28263,1.28259,1.28259,6
29.12.2020 06:47:00.000,1.28260,1.28270,1.28260,1.28267,15.5
29.12.2020 06:48:00.000,1.28267,1.28269,1.28260,1.28261,15.75
29.12.2020 06:49:00.000,1.28263,1.28263,1.28261,1.28262,7.5
29.12.2020 06:50:00.000,1.28261,1.28272,1.28261,1.28272,16.5
29.12.2020 06:51:00.000,1.28273,1.28274,1.28265,1.28265,16
29.12.2020 06:52:00.000,1.28267,1.28272,1.28265,1.28266,21.5
29.12.2020 06:53:00.000,1.28268,1.28270,1.28267,1.28270,15.07
29.12.2020 06:54:00.000,1.28270,1.28271,1.28263,1.28263,26.2
29.12.2020 06:55:00.000,1.28263,1.28263,1.28259,1.28259,19.5
29.12.2020 06:56:00.000,1.28258,1.28258,1.28246,1.28246,22.07
29.12.2020 06:57:00.000,1.28247,1.28259,1.28246,1.28246,24.64
29.12.2020 06:58:00.000,1.28246,1.28246,1.28236,1.28236,11.35
29.12.2020 06:59:00.000,1.28235,1.28235,1.28225,1.28227,16.96
29.12.2020 07:00:00.000,1.28226,1.28231,1.28215,1.28227,70.43
29.12.2020 07:01:00.000,1.28225,1.28227,1.28216,1.28217,47
29.12.2020 07:02:00.000,1.28218,1.28221,1.28217,1.28220,37.55
29.12.2020 07:03:00.000,1.28220,1.28222,1.28220,1.28222,11.1
29.12.2020 07:04:00.000,1.28222,1.28223,1.28220,1.28221,14
29.12.2020 07:05:00.000,1.28222,1.28231,1.28221,1.28230,13
29.12.2020 07:06:00.000,1.28230,1.28230,1.28221,1.28223,16.25
